resultado_id,corrida_id,data_corrida,tipo_evento,nome_evento,circuito_rota,regiao,tipo_rota,piso,distancia_km,voltas,pulseira_minima,nivel_pulseira_minima,piloto,pulseira_piloto,nivel_pulseira_piloto,ano_carro,marca_carro,modelo_carro,classe_carro,tracao,potencia_hp,tempo_total_seg,tempo_formatado,gap_para_vencedor_seg,posicao,vencedor,dnf,pontos,creditos_usd,velocidade_media_kmh,clima,hora_largada,registro_sintetico,fonte_eventos,fonte_carros,fonte_pulseiras
RES-0001,RACE-001,2012-10-20,Festival Race,Horizon Heats,Festival Central Loop,Main Stage,Circuit,Asfalto,5.20,3,Sem pulseira,0,Cameron Price,Green,2,2010,Lexus,LFA,S,RWD,552,406.678,00:06:46.678,0.000,1,TRUE,FALSE,0,3000.00,138.10,Ensolarado,10:00:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0002,RACE-001,2012-10-20,Festival Race,Horizon Heats,Festival Central Loop,Main Stage,Circuit,Asfalto,5.20,3,Sem pulseira,0,Peyton Hughes,Pink,4,2012,Nissan,GT-R Black Edition,A,AWD,530,406.910,00:06:46.910,0.232,2,FALSE,FALSE,0,2790.00,138.00,Chuva leve,10:00:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0003,RACE-001,2012-10-20,Festival Race,Horizon Heats,Festival Central Loop,Main Stage,Circuit,Asfalto,5.20,3,Sem pulseira,0,Alex Mercer,Yellow,1,2013,Dodge,Viper GTS,S,RWD,640,408.722,00:06:48.722,2.045,3,FALSE,FALSE,0,2580.00,137.40,Vento forte,10:00:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0004,RACE-001,2012-10-20,Festival Race,Horizon Heats,Festival Central Loop,Main Stage,Circuit,Asfalto,5.20,3,Sem pulseira,0,Morgan Reed,Green,2,2012,Lamborghini,Aventador LP700-4,S,AWD,700,411.199,00:06:51.199,4.521,4,FALSE,FALSE,0,2370.00,136.60,Nublado,10:00:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0005,RACE-001,2012-10-20,Festival Race,Horizon Heats,Festival Central Loop,Main Stage,Circuit,Asfalto,5.20,3,Sem pulseira,0,Reese Morgan,Yellow,1,2011,Subaru,Impreza WRX STI,A,AWD,305,426.224,00:07:06.224,19.547,5,FALSE,FALSE,0,2160.00,131.80,Chuva leve,10:00:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0006,RACE-001,2012-10-20,Festival Race,Horizon Heats,Festival Central Loop,Main Stage,Circuit,Asfalto,5.20,3,Sem pulseira,0,Harper Diaz,Blue,3,1983,Audi,Sport quattro,B,AWD,302,451.286,00:07:31.286,44.608,6,FALSE,FALSE,0,1949.00,124.40,Ensolarado,10:00:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0007,RACE-001,2012-10-20,Festival Race,Horizon Heats,Festival Central Loop,Main Stage,Circuit,Asfalto,5.20,3,Sem pulseira,0,Jamie Cole,Pink,4,2008,BMW,M3,A,RWD,414,452.008,00:07:32.008,45.331,7,FALSE,FALSE,0,1739.00,124.20,Vento forte,10:00:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0008,RACE-001,2012-10-20,Festival Race,Horizon Heats,Festival Central Loop,Main Stage,Circuit,Asfalto,5.20,3,Sem pulseira,0,Quinn Parker,Blue,3,2011,Ford,F-150 SVT Raptor,B,AWD,411,490.193,00:08:10.193,83.515,8,FALSE,FALSE,0,1530.00,114.60,Vento forte,10:00:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0009,RACE-002,2012-10-21,Festival Race,Recaro Rush,Montano Dirt Cross,Montano Plains,Dirt Cross,Terra,7.60,3,Yellow,1,Riley Grant,Green,2,1997,Lamborghini,Diablo SV,S,RWD,510,721.976,00:12:01.976,0.000,1,TRUE,FALSE,100,4800.00,113.70,Nublado,11:15:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0010,RACE-002,2012-10-21,Festival Race,Recaro Rush,Montano Dirt Cross,Montano Plains,Dirt Cross,Terra,7.60,3,Yellow,1,Jamie Cole,Yellow,1,2011,Audi,R8 GT,S,AWD,560,753.766,00:12:33.766,31.790,2,FALSE,FALSE,91,4464.00,108.90,Chuva leve,11:15:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0011,RACE-002,2012-10-21,Festival Race,Recaro Rush,Montano Dirt Cross,Montano Plains,Dirt Cross,Terra,7.60,3,Yellow,1,Peyton Hughes,Pink,4,2004,Saleen,S7,S,RWD,575,765.383,00:12:45.383,43.407,3,FALSE,FALSE,82,4128.00,107.20,Ensolarado,11:15:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0012,RACE-002,2012-10-21,Festival Race,Recaro Rush,Montano Dirt Cross,Montano Plains,Dirt Cross,Terra,7.60,3,Yellow,1,Logan Rivera,Yellow,1,2012,Dodge,Challenger SRT8 392,A,RWD,470,790.395,00:13:10.395,68.419,4,FALSE,FALSE,73,3792.00,103.80,Nublado,11:15:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0013,RACE-002,2012-10-21,Festival Race,Recaro Rush,Montano Dirt Cross,Montano Plains,Dirt Cross,Terra,7.60,3,Yellow,1,Drew Foster,Green,2,2008,Mitsubishi,Lancer Evolution X GSR,A,AWD,291,801.850,00:13:21.850,79.874,5,FALSE,FALSE,64,3456.00,102.40,Chuva leve,11:15:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0014,RACE-002,2012-10-21,Festival Race,Recaro Rush,Montano Dirt Cross,Montano Plains,Dirt Cross,Terra,7.60,3,Yellow,1,Jordan Hayes,Blue,3,2010,Ford,Focus RS500,A,FWD,345,846.057,00:14:06.057,124.081,6,FALSE,FALSE,55,3119.00,97.01,Seco,11:15:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0015,RACE-002,2012-10-21,Festival Race,Recaro Rush,Montano Dirt Cross,Montano Plains,Dirt Cross,Terra,7.60,3,Yellow,1,Skyler Bennett,Yellow,1,1998,Toyota,Supra RZ,B,RWD,320,892.463,00:14:52.463,170.487,7,FALSE,FALSE,46,2784.00,92.00,Ensolarado,11:15:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0016,RACE-002,2012-10-21,Festival Race,Recaro Rush,Montano Dirt Cross,Montano Plains,Dirt Cross,Terra,7.60,3,Yellow,1,Avery Scott,Blue,3,1970,Ford,Mustang Boss 429,B,RWD,375,905.792,00:15:05.792,183.816,8,FALSE,FALSE,37,2448.00,90.60,Chuva leve,11:15:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0017,RACE-003,2012-10-22,Festival Race,G-Shock Super Sprint,Clear Springs Run,Clear Springs,Sprint,Asfalto,8.90,1,Yellow,1,Quinn Parker,Pink,4,2013,Dodge,Viper GTS,S,RWD,640,189.968,00:03:09.968,0.000,1,TRUE,FALSE,100,4800.00,168.70,Vento forte,12:30:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
RES-0018,RACE-003,2012-10-22,Festival Race,G-Shock Super Sprint,Clear Springs Run,Clear Springs,Sprint,Asfalto,8.90,1,Yellow,1,Alex Mercer,Green,2,2005,Ford,GT,S,RWD,550,191.131,00:03:11.131,1.163,2,FALSE,FALSE,91,4464.00,167.60,Ensolarado,12:30:00,TRUE,https://forzahorizonwiki.com/wiki/racing-for-pinks/,https://www.onlineracedriver.com/2012/08/03/forza-horizon-official-car-list/,https://forzahorizonwiki.com/wiki/forza-horizon/wristbands/
