registro_id,data_evento,dia_festival,regiao,local_evento,area_palco,radio_estacao,artista,faixa_musical,estilo_musical,tipo_apresentacao,horario_inicio,duracao_min,pulseira_cor,nivel_pulseira,categoria_pulseira,capacidade_area,ingressos_emitidos,checkins,convidados,staff,pessoas_na_area,no_show,ocupacao_pct,preco_medio_ingresso_usd,receita_ingressos_usd,consumo_medio_pessoa_usd,receita_alimentos_bebidas_usd,receita_merch_usd,avaliacao_publico_0a10,incidentes_reportados,registro_sintetico,fonte_referencia
MUS-0001,2012-10-19,1,Main Stage,Festival Central,Palco Principal,Horizon Bass Arena,Avicii,Levels (Skrillex Mix),EDM,DJ set,12:00:00,40,Yellow,1,Rookie,24000,21478,20884,600,245,21729,594,90.50,54.47,1137551.48,44.46,488910.98,141417.92,8.9,5,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0002,2012-10-20,2,Montano Plains,Montano Fields,Palco Sunset,Horizon Bass Arena,Azari & III,Reckless (With Your Love),Electro / House,DJ set,13:15:00,75,Blue,3,Intermediate,8580,7184,6984,174,124,7282,200,84.90,76.09,531412.56,38.67,203545.03,18654.58,8.8,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0003,2012-10-21,3,Main Stage,Festival Central,Palco Principal,Horizon Bass Arena,Benny Benassi,Cinema (Skrillex Remix),Electro House,DJ set,14:30:00,40,Orange,5,Advanced,11040,8460,8110,509,125,8744,350,79.20,106.32,862255.20,35.13,179141.38,43833.22,9.2,2,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0004,2012-10-22,4,Montano Plains,Montano Fields,Palco Sunset,Horizon Bass Arena,Chase & Status,Blind Faith (feat. Liam Bailey),Drum & Bass,DJ set,15:45:00,60,Gold,7,Elite/VIP,1980,1333,1170,22,21,1213,163,61.30,137.08,160383.60,49.44,29610.38,5658.69,8.4,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0005,2012-10-23,5,Main Stage,Festival Central,Palco Principal,Horizon Bass Arena,Chromeo,Hot Mess (Duck Sauce Mix),Electro Funk,DJ set,16:00:00,60,Green,2,Rookie,22080,15899,15332,443,316,16091,567,72.90,61.28,939544.96,29.61,324490.56,147510.91,8.4,3,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0006,2012-10-24,6,Montano Plains,Montano Fields,Palco Sunset,Horizon Bass Arena,Digitalism,Encore,Electro,DJ set,17:15:00,55,Pink,4,Intermediate,6930,6188,5686,154,87,5927,502,85.50,100.85,573433.10,42.04,161234.85,53365.73,9.1,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0007,2012-10-25,7,Main Stage,Festival Central,Palco Principal,Horizon Bass Arena,DJ Fresh,The Power (feat. Dizzee Rascal),Drum & Bass,DJ set,18:30:00,50,Purple,6,Elite,7200,5173,5026,154,76,5256,147,73.00,127.78,642222.28,43.38,158549.01,23756.87,7.1,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0008,2012-10-19,1,Clear Springs,Clear Springs Park,Palco Pulse,Horizon Bass Arena,Feed Me,Silicone Lube,Electro House,DJ set,19:45:00,55,Yellow,1,Rookie,8200,7350,7055,155,126,7336,295,89.50,55.46,391270.30,30.08,144550.02,43568.26,8.9,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0009,2012-10-20,2,Carson,Carson Street Hub,Palco Urbano,Horizon Bass Arena,Fenech-Soler,Lies (Alex Metric Remix),Indietronica,DJ set,20:00:00,45,Blue,3,Intermediate,7410,6166,5522,320,70,5912,644,79.80,84.09,464344.98,33.49,98809.99,36213.27,9.3,1,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
MUS-0010,2012-10-21,3,Clear Springs,Clear Springs Park,Palco Pulse,Horizon Bass Arena,Madeon,Icarus,Electro House,DJ set,21:15:00,55,Orange,5,Advanced,3772,3772,3336,51,57,3444,436,91.30,111.76,372831.36,34.55,67592.39,13784.61,9.5,0,TRUE,https://forzahorizonwiki.com/wiki/forza-horizon/soundtrack/
